long,lat,count
-74.0067,40.7441,340
-74.0078,40.7404,340
-74.0137,40.7150,340
-73.7902,40.6468,339
-73.9518,40.7735,339
-73.9552,40.7734,339
-73.9675,40.7630,339
-73.9788,40.7622,339
-73.9805,40.7424,339
-73.9814,40.7411,339
-73.9818,40.7733,339
-73.9868,40.7297,339
-73.9888,40.7270,339
-73.9906,40.7348,339
-73.9909,40.7509,339
-74.0043,40.7422,339
-74.0052,40.7412,339
-74.0055,40.7255,339
-74.0066,40.7357,339
-74.0099,40.7216,339
-73.9615,40.7803,338
-73.9872,40.7292,338
-73.9901,40.7517,338
-73.990,40.7507,338
-73.9919,40.7440,338
-74.0003,40.7576,338
-74.0021,40.7559,338
-73.8627,40.7684,337
-73.9555,40.7643,337
-73.9783,40.7295,337
-73.9871,40.7223,337
-73.9908,40.7557,337
-74.0056,40.7263,337
-73.8702,40.7733,336
-73.9752,40.7413,336
-73.9760,40.7445,336
-73.9788,40.7621,336
-73.982,40.7715,336
-73.9872,40.7205,336
-73.9919,40.7489,336
-73.9920,40.7592,336
-73.9937,40.7589,336
-74.0062,40.7404,336
-74.0071,40.7415,336
-74.0098,40.7215,336
-73.8706,40.7722,335
-73.9814,40.7785,335
-73.9879,40.7281,335
-73.9900,40.7567,335
-73.9911,40.7487,335
-74.0063,40.7395,335
-73.8639,40.7693,334
-73.9639,40.7922,334
-73.9670,40.7637,334
-73.9782,40.7523,334
-73.9848,40.7324,334
-74.0039,40.7076,334
-74.0050,40.7413,334
-73.9793,40.7528,333
-73.9888,40.7269,333
-73.9914,40.7497,333
-74.0028,40.7336,333
-74.0039,40.7429,333
-74.0055,40.7400,333
-73.9733,40.7638,332
-73.9952,40.7695,332
-74.0014,40.7360,332
-74.0042,40.7426,332
-74.0055,40.7270,332
-74.0059,40.7402,332
-73.9539,40.7754,331
-73.9615,40.7794,331
-73.9729,40.7642,331
-73.9755,40.7414,331
-73.9847,40.7482,331
-73.9950,40.7397,331
-73.9970,40.7254,331
-73.9987,40.7229,331
-73.9991,40.7340,331
-73.9614,40.7603,330
-73.9638,40.7739,330
-73.9789,40.7622,330
-73.9891,40.7478,330
-73.9902,40.7567,330
-73.9903,40.7516,330
-73.9941,40.7461,330
-73.9543,40.7782,329
-73.9564,40.7754,329
-73.9794,40.7527,329
-73.9825,40.7716,329
-73.9847,40.7325,329
-73.9890,40.7364,329
-73.9958,40.7489,329
-74.0029,40.7341,329
-73.9486,40.7738,328
-73.9657,40.7543,328
-73.9727,40.7805,328
-73.9752,40.7414,328
-73.9801,40.7269,328
-73.9805,40.7305,328
-73.9812,40.7690,328
-73.9833,40.7263,328
-73.9841,40.7549,328
-73.9915,40.7598,328
-74.0013,40.7292,328
-74.0047,40.7469,328
-74.0054,40.7410,328
-74.0056,40.7509,328
-74.0077,40.7516,328
-74.0138,40.7147,328
-73.9537,40.7708,327
-73.9568,40.7748,327
-73.9723,40.7651,327
-73.9760,40.7446,327
-73.9825,40.7724,327
-73.9893,40.7230,327
-73.9900,40.7482,327
-73.991,40.7491,327
-74.0038,40.7476,327
-73.9535,40.7793,326
-73.9545,40.7781,326
-73.9675,40.7631,326
-73.9819,40.768,326
-73.9889,40.7482,326
-73.9890,40.7365,326
-73.9900,40.7566,326
-73.9909,40.7510,326
-73.9910,40.7557,326
-73.9953,40.7497,326
-74.0027,40.7498,326
-74.0062,40.7396,326
-73.8704,40.7735,325
-73.9616,40.7794,325
-73.9674,40.7631,325
-73.9747,40.7876,325
-73.9887,40.7486,325
-73.9903,40.7566,325
-73.9489,40.7774,324
-73.9778,40.7341,324
-73.9788,40.7623,324
-73.9871,40.7292,324
-74.0012,40.7563,324
-74.0069,40.7416,324
-73.8716,40.7743,323
-73.9548,40.7775,323
-73.9778,40.7517,323
-73.9779,40.7517,323
-73.9881,40.7226,323
-73.9900,40.7514,323
-73.9531,40.7886,322
-73.9614,40.7794,322
-73.9719,40.7864,322
-73.9807,40.7299,322
-73.9837,40.7301,322
-73.9902,40.7566,322
-73.9912,40.7489,322
-73.9917,40.7266,322
-73.9927,40.7428,322
-73.995,40.7499,322
-74.0081,40.7382,322
